key,email,foundation,iata,name,phone,type,website
airline-17,airline@gmail.com,2000/01/01 0:01,ATX,洛伦·伊普森,+34123456789,LUXURY,https://www.fakeweb.com
airline-18,airline@gmail.com,2000/01/01 0:01,AUX,<marquee>Hacked</marquee>,+34123456789,LUXURY,https://www.fakeweb.com
airline-19,airline@gmail.com,2000/01/01 0:01,AVX,<script>alert(‘Hacked!’);</script>,+34123456789,LUXURY,https://www.fakeweb.com
airline-20,airline@gmail.com,2000/01/01 0:01,AWX,' or 'A' = 'A,+34123456789,LUXURY,https://www.fakeweb.com
# website - standard variations
airline-21,acme@lorem-ipsum.org,2002/02/01 10:00,BAX,Airline1,+34123456789,STANDARD,http://lorem.com/ipsum
airline-22,acme@lorem-ipsum.org,2002/02/01 10:00,BBX,Airline2,+34123456789,STANDARD,http://a
airline-23,acme@lorem-ipsum.org,2002/02/01 10:00,BCX,Airline3,null,STANDARD,http://a.b
airline-24,acme@lorem-ipsum.org,2002/02/01 10:00,BDX,Airline4,+34123456789,STANDARD,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/"
airline-25,acme@lorem-ipsum.org,2002/02/01 10:00,BEX,Airline5,+34123456789,STANDARD,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X"
airline-26,acme@lorem-ipsum.org,2002/02/01 10:00,BFX,Airline6,+34123456789,STANDARD,https://www.lorem-ipsum.org
airline-27,acme@lorem-ipsum.org,2002/02/01 10:00,BGX,Airline7,+34123456789,STANDARD,http://www.lorem-ipsum.org
airline-28,acme@lorem-ipsum.org,2002/02/01 10:00,BHX,Airline8,+34123456789,STANDARD,http://www.lorem-ipsum.org/dolor/sit.html
airline-29,acme@lorem-ipsum.org,2002/02/01 10:00,BIX,Airline9,+34123456789,STANDARD,http://www.lorem-ipsum.org/dolor/sit.html#dolor
airline-30,null,2002/02/01 10:00,BJX,Airline10,null,STANDARD,http://example.org?a=1&b=2
airline-31,acme@lorem-ipsum.org,2002/02/01 10:00,BKX,Airline11,+34123456789,STANDARD,http://example.org?
airline-32,acme@lorem-ipsum.org,2002/02/01 10:00,BLX,Airline12,+34123456789,STANDARD,http://example.org?a
airline-33,acme@lorem-ipsum.org,2002/02/01 10:00,BMX,Airline13,+34123456789,STANDARD,http://example.org?a&b
airline-34,acme@lorem-ipsum.org,2002/02/01 10:00,BNX,Airline14,+34123456789,STANDARD,http://example.org/
airline-35,null,2002/02/01 10:00,BOX,Airline15,+34123456789,STANDARD,http://example.org/a
airline-36,acme@lorem-ipsum.org,2002/02/01 10:00,BPX,Airline16,+34123456789,STANDARD,http://example.org/a/b
airline-37,acme@lorem-ipsum.org,2002/02/01 10:00,BQX,Airline17,+34123456789,STANDARD,http://example.org/a/b?
airline-38,acme@lorem-ipsum.org,2002/02/01 10:00,BRX,Airline18,+34123456789,STANDARD,http://example.org/a/b?a&b
airline-39,acme@lorem-ipsum.org,2002/02/01 10:00,BSX,Airline18,null,STANDARD,http://example.org/a/b?a&b
